"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"238181421","2021-12-22T00:00:00.000","05:35:00","BRONX",,"42","0",,,"true",,,,"45-64","M","WHITE HISPANIC","1008282","240025","40.82546426500005","-73.91316774999996","POINT (-73.91316774999996 40.82546426500005)"
"238149731","2021-12-21T00:00:00.000","19:52:00","BROOKLYN",,"71","0",,,"false",,,,"25-44","M","BLACK","995675","180124","40.661076321000046","-73.95882176199996","POINT (-73.95882176199996 40.661076321000046)"
"238147753","2021-12-21T00:00:00.000","11:30:00","QUEENS",,"103","0",,,"false",,,,"18-24","M","BLACK HISPANIC","1042290","197554","40.70873471300007","-73.79065530299994","POINT (-73.79065530299994 40.70873471300007)"
"238147754","2021-12-21T00:00:00.000","19:55:00","BROOKLYN",,"68","0",,,"false",,,,"25-44","M","BLACK","977453","170950","40.635900435000046","-74.02449095499998","POINT (-74.02449095499998 40.635900435000046)"
"238104588","2021-12-20T00:00:00.000","18:35:00","BROOKLYN",,"73","0",,,"true",,,,"25-44","M","BLACK","1009224","179455","40.65921221700007","-73.90998894799998","POINT (-73.90998894799998 40.65921221700007)"
"238104586","2021-12-20T00:00:00.000","20:28:00","MANHATTAN",,"32","2",,"MULTI DWELL - PUBLIC HOUS","false","25-44","F","BLACK","45-64","M","BLACK","1001752","241629","40.82988213900006","-73.93675809999998","POINT (-73.93675809999998 40.82988213900006)"
"238104587","2021-12-20T00:00:00.000","17:07:00","MANHATTAN",,"26","0",,,"false",,,,"25-44","M","BLACK","998641","236979","40.81712482300003","-73.94800964599993","POINT (-73.94800964599993 40.81712482300003)"
"238053955","2021-12-19T00:00:00.000","05:30:00","QUEENS",,"101","2",,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK","1043516","157081","40.59763735300004","-73.78658887599995","POINT (-73.78658887599995 40.59763735300004)"
"238042760","2021-12-19T00:00:00.000","03:32:00","BRONX",,"43","0",,,"false",,,,"25-44","M","BLACK","1023436","242970","40.83349320900004","-73.85839538599998","POINT (-73.85839538599998 40.83349320900004)"
"238064670","2021-12-19T00:00:00.000","23:27:00","BROOKLYN",,"67","0",,,"false",,,,"25-44","M","BLACK","1005192","180644","40.66248621300008","-73.92451757499998","POINT (-73.92451757499998 40.66248621300008)"
"238040455","2021-12-18T00:00:00.000","02:55:00","BRONX",,"45","0",,,"false","25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC","1027428","246132","40.84215335500005","-73.84394920799997","POINT (-73.84394920799997 40.84215335500005)"
"238040456","2021-12-18T00:00:00.000","21:00:00","BRONX",,"46","0",,,"false",,,,"25-44","M","BLACK","1010368","250581","40.85443147800004","-73.90558940299998","POINT (-73.90558940299998 40.85443147800004)"
